plot,plot_name,plot_name_new
20220809_132736_GS010343,quad_02,plot_01_new
20220809_140145_GS010345,quad_02,plot_01_new
20220809_143016_GS010347,quad_02,plot_01_new
20220809_145609_GS010349,quad_02,plot_01_new
20220809_151004_GS010352,quad_02,plot_01_new
20220809_153046_GS010354,quad_02,plot_01_new
20220809_142643_GS010352,quad_valley_winds,plot_02_new
20220809_150701_GS010353,quad_valley_winds,plot_02_new
20220809_150800_GS010354,quad_valley_winds,plot_02_new
20220809_151434_GS010355,quad_valley_winds,plot_02_new
20220809_154134_GS010356,quad_valley_winds,plot_02_new
20220809_155454_GS010357,quad_valley_winds,plot_02_new
20220809_160952_GS010358,quad_valley_winds,plot_02_new
20220809_161746_GS010359,quad_valley_winds,plot_02_new
20220809_133002_GS010351,quad_valley_winds_north,plot_03_new
20220807_092717_GS010313,quad_03,plot_04_new
20220807_095057_GS010314,quad_03,plot_04_new
20220807_102612_GS010315,quad_03,plot_04_new
20220807_105057_GS010316,quad_03,plot_04_new
20220807_111916_GS010317,quad_03,plot_04_new
20220807_114554_GS010318,quad_04,plot_05_new
20220807_120908_GS010319,quad_04,plot_05_new
20220807_123659_GS010320,quad_04,plot_05_new
20220807_131512_GS010321,quad_04,plot_05_new
20220807_134254_GS010322,quad_04,plot_05_new
20220807_143317_GS010324,quad_05,plot_06_new
20220807_145534_GS010325,quad_05,plot_06_new
20220807_152153_GS010326,quad_05,plot_06_new
20220807_153842_GS010327,quad_05,plot_06_new
20220807_153842_GS020327,quad_05,plot_06_new
20220811_143608_GS010397,quad_06,plot_07_new
20220811_143608_GS020397,quad_06,plot_07_new
20220811_144753_GS010398,quad_06,plot_07_new
20220811_112946_GS010390,quad_11,plot_08_new
20220811_112946_GS020390,quad_11,plot_08_new
20220811_115752_GS010392,quad_11,plot_08_new
20220811_125005_GS010395,quad_11,plot_08_new
20220808_153346_GS010337,borefields_arch_west,plot_09_new
20220808_154300_GS010347,borefields_arch_west,plot_09_new
20220808_145325_GS010336,borefields_arch_east,plot_10_new
20220808_150121_GS010346,borefields_arch_east,plot_10_new
20220811_095641_GS010389,quad_10,plot_11_new
20220811_102445_GS010391,quad_10,plot_11_new
20220811_104956_GS010393,quad_10,plot_11_new
20220811_111351_GS010395,quad_10,plot_11_new
20220811_114920_GS010397,quad_10,plot_11_new
20220811_122238_GS010398,quad_12,plot_12_new
20220811_124120_GS010400,quad_12,plot_12_new
20220811_130833_GS010402,quad_12,plot_12_new
20220811_133809_GS010404,quad_12,plot_12_new
20220811_140155_GS010406,quad_12,plot_12_new
20220808_131758_GS010333,quad_13,plot_13_new
20220808_132732_GS010337,quad_13,plot_13_new
20220808_134613_GS010334,quad_13,plot_13_new
20220808_134635_GS010339,quad_13,plot_13_new
20220808_135951_GS010341,quad_13,plot_13_new
20220808_140307_GS010335,quad_13,plot_13_new
20220808_142330_GS010344,quad_13,plot_13_new
20220806_135038_GS010301,quad_15,plot_14_new
20220806_140032_GS010302,quad_15,plot_14_new
20220806_141708_GS010303,quad_15,plot_14_new
20220806_143135_GS010304,quad_15,plot_14_new
20220806_144951_GS010305,quad_15,plot_14_new
20220806_151832_GS010307,quad_14,plot_15_new
20220806_152559_GS010308,quad_14,plot_15_new
20220806_154134_GS010309,quad_14,plot_15_new
20220806_155705_GS010310,quad_14,plot_15_new
20220806_161413_GS010311,quad_14,plot_15_new
20220806_083035_GS010285,quad_16,plot_16_new
20220806_084047_GS010286,quad_16,plot_16_new
20220806_085647_GS010287,quad_16,plot_16_new
20220806_091236_GS010288,quad_16,plot_16_new
20220806_092850_GS010289,quad_16,plot_16_new
20220806_123312_GS010295,quad_17,plot_17_new
20220806_130212_GS010296,quad_17,plot_17_new
20220806_133046_GS010297,quad_17,plot_17_new
20220806_135727_GS010298,quad_17,plot_17_new
20220806_142258_GS010299,quad_17,plot_17_new
20220806_090411_GS010290,quad_18,plot_18_new
20220806_093620_GS010291,quad_18,plot_18_new
20220806_100745_GS010292,quad_18,plot_18_new
20220806_105702_GS010293,quad_18,plot_18_new
20220806_112903_GS010294,quad_18,plot_18_new
20220806_095643_GS010290,quad_19,plot_19_new
20220806_100531_GS010291,quad_19,plot_19_new
20220806_102006_GS010292,quad_19,plot_19_new
20220806_103519_GS010293,quad_19,plot_19_new
20220806_104923_GS010294,quad_19,plot_19_new
20220806_112305_GS010295,quad_20,plot_20_new
20220806_114125_GS010296,quad_20,plot_20_new
20220806_115907_GS010297,quad_20,plot_20_new
20220806_121719_GS010298,quad_20,plot_20_new
20220806_123805_GS010299,quad_20,plot_20_new
20220807_131342_GS010318,quad_22,plot_21_new
20220807_133117_GS010320,quad_22,plot_21_new
20220807_135714_GS010322,quad_22,plot_21_new
20220807_142443_GS010324,quad_22,plot_21_new
20220807_145218_GS010326,quad_22,plot_21_new
20220807_095753_GS010308,quad_23,plot_22_new
20220807_102146_GS010309,quad_23,plot_22_new
20220807_105313_GS010311,quad_23,plot_22_new
20220807_113112_GS010313,quad_23,plot_22_new
20220807_115643_GS010315,quad_23,plot_22_new
20220807_123206_GS010317,quad_23,plot_22_new
20220806_155216_GS010300,quad_24,plot_23_new
20220806_161925_GS010301,quad_24,plot_23_new
20220806_164439_GS010302,quad_24,plot_23_new
20220806_170718_GS010303,quad_24,plot_23_new
20220806_173511_GS010304,quad_24,plot_23_new
20220806_181036_GS010305,quad_24,plot_23_new
20220808_090807_GS010328,quad_26,plot_24_new
20220808_091351_GS010327,quad_26,plot_24_new
20220808_092409_GS010329,quad_26,plot_24_new
20220808_093842_GS010329,quad_26,plot_24_new
20220808_094609_GS010330,quad_26,plot_24_new
20220808_101034_GS010331,quad_26,plot_24_new
20220808_102700_GS010331,quad_25,plot_25_new
20220808_103348_GS010332,quad_25,plot_25_new
20220808_103902_GS010332,quad_25,plot_25_new
20220808_105319_GS010334,quad_25,plot_25_new
20220808_112055_GS010336,quad_25,plot_25_new
20220809_074001_GS010338,quad_25,plot_25_new
20220810_102130_GS010360,quad_27,plot_26_new
20220810_104624_GS010361,quad_27,plot_26_new
20220810_111725_GS010364,quad_27,plot_26_new
20220810_113521_GS010365,quad_27,plot_26_new
20220810_115348_GS010366,quad_27,plot_26_new
20220810_121905_GS010367,quad_27,plot_26_new
20220810_113255_GS010367,quad_28_ATV,plot_27_new
20220810_114944_GS010368,quad_28_ATV,plot_27_new
20220810_120910_GS010370,quad_28_ATV,plot_27_new
20220810_123202_GS010373,quad_28_ATV,plot_27_new
20220810_125516_GS010374,quad_28_ATV,plot_27_new
20220810_134416_GS010379,quad_29_ATV,plot_28_new
20220810_140103_GS010380,quad_29_ATV,plot_28_new
20220810_141343_GS010381,quad_29_ATV,plot_28_new
20220810_143410_GS010383,quad_29_ATV,plot_28_new
20220810_142121_GS010368,quad_30,plot_29_new
20220810_143717_GS010369,quad_30,plot_29_new
20220810_145931_GS010370,quad_30,plot_29_new
20220810_151938_GS010371,quad_30,plot_29_new
20220810_153958_GS010372,quad_30,plot_29_new
